id,firstname,lastname,email,score,date_of_birth,university
878,Peri,Wallis,Peri.Wallis@mymail.com,2.59,1946-05-02,American University of Beirut
879,Eolanda,Alcott,Eolanda.Alcott@mymail.com,9.77,1916-11-14,St. John's University (Paris campus)
880,Perry,Etom,Perry.Etom@mymail.com,6.7,1929-03-09,Temple University (Japan campus)
881,Tamqrah,Gunn,Tamqrah.Gunn@mymail.com,10.42,1924-04-08,Keiser University (Latin American campus)
882,Oona,Vastah,Oona.Vastah@mymail.com,4.64,1927-11-07,Richmond The American International University in London
883,Kial,Khorma,Kial.Khorma@mymail.com,6.39,1951-07-17,St. John's University (Italy campus)
884,Melanie,Jaylene,Melanie.Jaylene@mymail.com,4.53,1988-09-07,Central European University
885,Corene,Tufts,Corene.Tufts@mymail.com,4.38,1907-07-03,Temple University (Rome campus)
886,Noelle,Israeli,Noelle.Israeli@mymail.com,10.71,1984-05-07,University of Utah (Incheon campus)
887,Barbi,Nelsen,Barbi.Nelsen@mymail.com,6.03,1979-11-30,American University in Bosnia and Herzegovina
888,Lulita,Laurianne,Lulita.Laurianne@mymail.com,7.7,1921-06-27,Schiller International University
889,Dione,Nahum,Dione.Nahum@mymail.com,8.13,2004-02-25,Franklin University Switzerland
890,Ardenia,Isacco,Ardenia.Isacco@mymail.com,7.29,1981-03-21,Keiser University (Latin American campus)
891,Starla,Ricarda,Starla.Ricarda@mymail.com,5.04,1981-07-10,American InterContinental University
892,Shell,Schalles,Shell.Schalles@mymail.com,5.76,1920-12-12,McDaniel College Budapest
893,Gertrud,Orpah,Gertrud.Orpah@mymail.com,6.51,1976-02-07,Richmond The American International University in London
894,Korrie,Egbert,Korrie.Egbert@mymail.com,6.75,1939-04-23,American University in Dubai
895,Beatriz,Greyson,Beatriz.Greyson@mymail.com,2.27,1992-05-26,Schiller International University
896,Wynne,Ledah,Wynne.Ledah@mymail.com,2.86,1963-12-24,American University of Nigeria
897,Carmencita,Therine,Carmencita.Therine@mymail.com,4.96,2007-11-04,Hellenic American University
898,Renie,Sandye,Renie.Sandye@mymail.com,10.7,1932-09-16,New York University (Buenos Aires campus)
899,Rori,Ade,Rori.Ade@mymail.com,5.34,1976-11-24,Lebanese American University
900,Jaclyn,Ball,Jaclyn.Ball@mymail.com,8.16,1924-01-02,John Cabot University
901,Ashlee,Braun,Ashlee.Braun@mymail.com,7.96,1935-03-21,United States International University
902,Audrie,Rooney,Audrie.Rooney@mymail.com,6.57,2004-05-31,RIT Kosovo / American University in Kosovo
903,Cyb,Gaspard,Cyb.Gaspard@mymail.com,8.72,1981-12-27,American University of Armenia
904,Anallese,Eldrid,Anallese.Eldrid@mymail.com,8.09,1931-12-27,University of Maryland Global Campus
905,Rebeca,Wadell,Rebeca.Wadell@mymail.com,3.37,1961-09-23,Temple University (Rome campus)
906,Alejandra,Hubert,Alejandra.Hubert@mymail.com,4.4,1945-06-20,Lebanese American University
907,Frieda,Aida,Frieda.Aida@mymail.com,8.38,2009-04-07,Kean University (Wenzhou campus)
908,Jerry,Charity,Jerry.Charity@mymail.com,8.66,1966-11-20,Kean University (Wenzhou campus)
909,Siana,Latini,Siana.Latini@mymail.com,2.57,1977-04-02,Kean University (Wenzhou campus)
910,Drucie,Roumell,Drucie.Roumell@mymail.com,9.89,1955-04-13,United States International University
911,Sharai,Roarke,Sharai.Roarke@mymail.com,9.63,2008-07-16,St. John's University (Paris campus)
912,Dominga,Linskey,Dominga.Linskey@mymail.com,6.29,1996-02-21,New York University (Buenos Aires campus)
913,Heida,Kirbee,Heida.Kirbee@mymail.com,5.13,1975-04-24,American University of Nigeria
914,Elena,Destinee,Elena.Destinee@mymail.com,5.84,1997-11-16,Central European University
915,Lily,Melony,Lily.Melony@mymail.com,9.14,1908-01-01,American University of Rome
916,Kristan,Pearse,Kristan.Pearse@mymail.com,1.55,1951-03-08,Lebanese American University
917,Justinn,McClimans,Justinn.McClimans@mymail.com,3.32,2019-03-06,American University of Paris
918,Hayley,Eiser,Hayley.Eiser@mymail.com,6.47,2011-01-04,Girne American University
919,Kaja,Kevon,Kaja.Kevon@mymail.com,4.6,1967-07-29,Lebanese American University
920,Millie,Briney,Millie.Briney@mymail.com,3.69,1998-11-02,Keiser University (Latin American campus)
921,Adele,Edmund,Adele.Edmund@mymail.com,10.16,1939-08-08,The American University in Cairo
922,Lilith,Michella,Lilith.Michella@mymail.com,6.93,1952-05-24,American InterContinental University
923,Susette,Gillan,Susette.Gillan@mymail.com,10.43,2017-05-21,American University of Armenia
924,Noelle,Pulsifer,Noelle.Pulsifer@mymail.com,2.54,1948-05-16,Kean University (Wenzhou campus)
925,Justinn,Terrence,Justinn.Terrence@mymail.com,5.33,1906-12-06,University of Maryland Global Campus
926,Dorene,Bergman,Dorene.Bergman@mymail.com,10.83,1961-06-24,Girne American University
927,Elie,Cyrie,Elie.Cyrie@mymail.com,5.88,2017-04-17,McDaniel College Budapest
928,Barbi,Elsinore,Barbi.Elsinore@mymail.com,1.82,1947-04-29,St. John's University (Italy campus)
929,Robinia,Dosia,Robinia.Dosia@mymail.com,10.99,1985-03-30,United States International University
930,Alexine,Tyson,Alexine.Tyson@mymail.com,1.22,1967-06-16,Keiser University (Latin American campus)
931,Magdalena,Jerald,Magdalena.Jerald@mymail.com,1.48,1985-06-28,American University of Rome
932,Imojean,Edvard,Imojean.Edvard@mymail.com,10.86,1927-12-04,American University in Bulgaria
933,Latisha,Horan,Latisha.Horan@mymail.com,3.64,1966-07-24,American University of Nigeria
934,Elora,Tybald,Elora.Tybald@mymail.com,4.18,1953-12-05,Keiser University (Latin American campus)
935,Sybille,Odysseus,Sybille.Odysseus@mymail.com,3.9,1974-04-02,American University in Dubai
936,Charmaine,Armanda,Charmaine.Armanda@mymail.com,4.32,1920-09-01,Saint Louis University (Madrid campus)
937,Minda,Fleeta,Minda.Fleeta@mymail.com,9.41,1981-05-23,American University of Paris
938,Ronna,Cloris,Ronna.Cloris@mymail.com,1.94,1953-07-21,Temple University (Japan campus)
939,Atlanta,Eliathas,Atlanta.Eliathas@mymail.com,2.82,1995-12-13,Central European University
940,Shandie,Ball,Shandie.Ball@mymail.com,5.93,1908-11-29,Schiller International University
941,Madelle,Nicoline,Madelle.Nicoline@mymail.com,5.56,1992-09-27,Stony Brook University (Korea campus)
942,Valera,Chabot,Valera.Chabot@mymail.com,6.62,1966-05-31,Richmond The American International University in London
943,Hallie,Kinnard,Hallie.Kinnard@mymail.com,3.24,1936-12-23,St. John's University (Paris campus)
944,Stacey,Posner,Stacey.Posner@mymail.com,1.74,2014-02-10,American University of Rome
945,Charissa,Anyah,Charissa.Anyah@mymail.com,1.5,1972-11-06,John Cabot University
946,Libbie,Schlosser,Libbie.Schlosser@mymail.com,7.65,1911-05-13,Schiller International University
947,Malina,Auberbach,Malina.Auberbach@mymail.com,2.79,2008-04-01,Hult International Business School
948,Carolina,Lubin,Carolina.Lubin@mymail.com,10.17,2012-09-20,Franklin University Switzerland
949,Elbertina,Himelman,Elbertina.Himelman@mymail.com,7.06,1946-10-18,University of Utah (Incheon campus)
950,Larine,Audly,Larine.Audly@mymail.com,1.94,1941-10-18,George Mason University (Incheon campus)
951,Lita,Engdahl,Lita.Engdahl@mymail.com,8.23,1984-02-19,University of Maryland Global Campus
952,Larine,Garek,Larine.Garek@mymail.com,5.34,1931-05-13,Temple University (Rome campus)
953,Margalo,Fry,Margalo.Fry@mymail.com,8.06,1930-07-26,American University of Paris
954,Nikki,Destinee,Nikki.Destinee@mymail.com,1.92,1937-01-16,American University of Beirut
955,Luci,Kenwood,Luci.Kenwood@mymail.com,3.69,1922-08-20,American University of Beirut
956,Coral,O'Neill,Coral.O'Neill@mymail.com,8.46,2004-06-20,American University of Beirut
957,Alleen,Eno,Alleen.Eno@mymail.com,10.78,1995-10-01,University of Utah (Incheon campus)
958,Tracey,Meli,Tracey.Meli@mymail.com,8.66,1961-08-29,George Mason University (Incheon campus)
959,Valli,Tufts,Valli.Tufts@mymail.com,8.79,1986-10-08,McDaniel College Budapest
960,Jaime,Elisha,Jaime.Elisha@mymail.com,5.83,1935-08-31,Keiser University (Latin American campus)
961,Hyacinthe,Radu,Hyacinthe.Radu@mymail.com,5.04,1948-03-04,Hellenic American University
962,Deedee,Carolin,Deedee.Carolin@mymail.com,3.81,1999-07-08,Girne American University
963,Liana,Azeria,Liana.Azeria@mymail.com,5.73,1906-02-16,Stony Brook University (Korea campus)
964,Dominga,Kronfeld,Dominga.Kronfeld@mymail.com,4.33,1938-12-18,American College of Thessaloniki (ACT)
965,Marita,Chick,Marita.Chick@mymail.com,8.07,2006-10-07,New York University (Abu Dhabi campus)
966,Shaine,Stuart,Shaine.Stuart@mymail.com,3.61,1956-06-18,American University of Armenia
967,Marika,Stevy,Marika.Stevy@mymail.com,9.63,1949-06-15,University of Utah (Incheon campus)
968,Jackie,Angelis,Jackie.Angelis@mymail.com,8.53,1953-01-20,United States International University
969,Marnia,Gale,Marnia.Gale@mymail.com,2.72,1940-09-19,Rochester Institute of Technology (Dubai campus)
970,Ann-Marie,Lasley,Ann-Marie.Lasley@mymail.com,8.8,1972-02-05,Hellenic American University
971,Marcelline,Ciapas,Marcelline.Ciapas@mymail.com,2.18,1966-09-20,Keiser University (Latin American campus)
972,Gilda,Rese,Gilda.Rese@mymail.com,5.02,1921-01-04,John Cabot University
973,Donnie,Artie,Donnie.Artie@mymail.com,10.72,2003-12-17,John Cabot University
974,Correy,Toor,Correy.Toor@mymail.com,2.48,1902-08-09,New York University (Buenos Aires campus)
975,Aeriela,Rubie,Aeriela.Rubie@mymail.com,3.07,1974-03-13,American College of Greece
976,Marcy,Chick,Marcy.Chick@mymail.com,5.5,1917-09-11,American University of Antigua
977,Beth,Ietta,Beth.Ietta@mymail.com,4.36,2017-11-02,Temple University (Rome campus)
978,Roslyn,Waldron,Roslyn.Waldron@mymail.com,3.12,1941-07-12,The American University in Cairo
979,Orelia,Leary,Orelia.Leary@mymail.com,6.31,1948-12-04,American University of Sharjah
980,Mady,Robertson,Mady.Robertson@mymail.com,9.74,2009-07-13,Webster University Geneva (Geneva campus)
981,Kimberley,Barrus,Kimberley.Barrus@mymail.com,5,1982-01-16,Saint Louis University (Madrid campus)
982,Janeczka,Haldas,Janeczka.Haldas@mymail.com,3.35,1940-03-09,American University in Bulgaria
983,Claudina,Fairweather,Claudina.Fairweather@mymail.com,6.91,1904-04-02,Lakeland University (Japan campus)
984,Sheree,Marisa,Sheree.Marisa@mymail.com,7.36,1973-01-02,RIT Kosovo / American University in Kosovo
985,Mallory,Ferrell,Mallory.Ferrell@mymail.com,3.72,1918-01-10,American University of Paris
986,Johna,Marcellus,Johna.Marcellus@mymail.com,7.62,1978-07-30,Saint Louis University (Madrid campus)
987,Kial,Parsaye,Kial.Parsaye@mymail.com,1.33,1905-06-16,Girne American University
988,Sheelagh,Schalles,Sheelagh.Schalles@mymail.com,1.19,1999-10-18,Schiller International University
989,Marti,Deny,Marti.Deny@mymail.com,3.9,2013-10-03,Central European University
990,Lizzie,Rad,Lizzie.Rad@mymail.com,6.85,1907-08-29,Lakeland University (Japan campus)
991,Cassandra,Ries,Cassandra.Ries@mymail.com,5.99,1963-01-06,American College of Greece
992,Linzy,Sherfield,Linzy.Sherfield@mymail.com,9.76,2016-09-26,American University of Sharjah
993,Carree,Odell,Carree.Odell@mymail.com,1.32,1914-02-20,New York University (Abu Dhabi campus)
994,Deloria,Kesley,Deloria.Kesley@mymail.com,6.64,1903-04-09,Schiller International University
995,Angelique,Marlie,Angelique.Marlie@mymail.com,2.19,1930-12-01,Girne American University
996,Kirbee,Sharl,Kirbee.Sharl@mymail.com,8.22,1997-07-16,American College Dublin
997,Paola,Selway,Paola.Selway@mymail.com,2.51,1989-08-16,University of Maryland Global Campus
998,Ezmeralda,Tiffa,Ezmeralda.Tiffa@mymail.com,2.69,2000-11-22,Franklin University Switzerland
999,Stephanie,Bivins,Stephanie.Bivins@mymail.com,7.25,1953-02-08,American University in Bosnia and Herzegovina
1000,Jemie,Keelia,Jemie.Keelia@mymail.com,9.3,2001-10-22,American University in Bulgaria
1001,Deane,Vacuva,Deane.Vacuva@mymail.com,7.08,2012-02-24,Rochester Institute of Technology (Dubai campus)
1002,Carly,Sidonius,Carly.Sidonius@mymail.com,1.84,1968-08-17,American University of Rome
1003,Janeczka,Latini,Janeczka.Latini@mymail.com,9.28,1961-09-07,American University in Bosnia and Herzegovina
1004,Jordan,Roxanna,Jordan.Roxanna@mymail.com,1.06,1903-08-27,New York University (Florence campus)
1005,Marita,Hepsibah,Marita.Hepsibah@mymail.com,5.56,1992-08-17,The American University in Cairo
1006,Flory,Ruvolo,Flory.Ruvolo@mymail.com,4.77,1950-05-10,John Cabot University
1007,Lynde,Chandler,Lynde.Chandler@mymail.com,9.5,1927-05-15,American College of Greece
1008,Isa,Daegal,Isa.Daegal@mymail.com,5.08,1916-08-13,Lebanese American University
1009,Georgina,Presber,Georgina.Presber@mymail.com,6.07,2008-10-17,St. John's University (Paris campus)
1010,Chickie,Carey,Chickie.Carey@mymail.com,5.95,1994-08-05,Kean University (Wenzhou campus)
1011,Madeleine,Kat,Madeleine.Kat@mymail.com,3.23,1962-05-19,Central European University
1012,Carol-Jean,Georgy,Carol-Jean.Georgy@mymail.com,8.28,1968-08-01,Saint Louis University (Madrid campus)
1013,Ashlee,Elo,Ashlee.Elo@mymail.com,2.75,1944-03-31,American University of Rome
1014,Cristabel,Kamaria,Cristabel.Kamaria@mymail.com,10.74,2013-06-13,Saint Louis University (Madrid campus)
1015,Hallie,Roscoe,Hallie.Roscoe@mymail.com,8.47,1919-08-17,New York University (Buenos Aires campus)
1016,Max,Nisbet,Max.Nisbet@mymail.com,10.22,1992-08-15,Rochester Institute of Technology (Dubai campus)
1017,Kenna,Edmund,Kenna.Edmund@mymail.com,4.76,1946-09-05,American University of Beirut
1018,Bettine,Cressida,Bettine.Cressida@mymail.com,1.33,1971-07-01,American University of Rome
1019,Benita,Rad,Benita.Rad@mymail.com,2.92,1938-11-07,Webster University Geneva (Geneva campus)
1020,Delilah,Suk,Delilah.Suk@mymail.com,6.08,1979-04-08,The American University in Cairo
1021,Melodie,Arne,Melodie.Arne@mymail.com,6.11,1991-10-06,American University in Bosnia and Herzegovina
1022,Vevay,Alabaster,Vevay.Alabaster@mymail.com,6.54,1977-12-07,Kean University (Wenzhou campus)
1023,Arabel,Glenden,Arabel.Glenden@mymail.com,6.16,1902-12-06,Central European University
1024,Caritta,Izaak,Caritta.Izaak@mymail.com,8.26,1910-08-26,Franklin University Switzerland
1025,Mureil,Afton,Mureil.Afton@mymail.com,4.66,1951-07-30,Temple University (Japan campus)
1026,Frank,Warthman,Frank.Warthman@mymail.com,6.63,1982-03-04,The American University in Cairo
1027,Carmencita,Clywd,Carmencita.Clywd@mymail.com,2.1,1959-10-18,Lebanese American University
1028,Elka,Milson,Elka.Milson@mymail.com,6.35,2014-12-28,St. John's University (Italy campus)
1029,Mariele,Newell,Mariele.Newell@mymail.com,3.42,1949-04-16,United States International University
1030,Fanny,Shaver,Fanny.Shaver@mymail.com,3.19,1985-06-17,Schiller International University
1031,Aili,Gualtiero,Aili.Gualtiero@mymail.com,6.2,2017-07-24,Keiser University (Latin American campus)
1032,Melodie,Merna,Melodie.Merna@mymail.com,3.77,1994-07-26,American University in Bulgaria
1033,Oralee,Claudine,Oralee.Claudine@mymail.com,10.99,1912-03-17,Hult International Business School
1034,Rori,Cavan,Rori.Cavan@mymail.com,9.13,1906-09-22,New York University (Buenos Aires campus)
1035,Mathilda,Guthrie,Mathilda.Guthrie@mymail.com,5.55,1987-01-27,Webster University Geneva (Geneva campus)
1036,Flory,Ailyn,Flory.Ailyn@mymail.com,5.88,1900-04-21,Central European University
1037,Jackie,Smitt,Jackie.Smitt@mymail.com,7.5,1945-11-03,United States International University
1038,Cecile,Malvino,Cecile.Malvino@mymail.com,3.88,1929-10-19,Saint Louis University (Madrid campus)
1039,Tori,Francene,Tori.Francene@mymail.com,4.61,2011-10-05,United States International University
1040,Darlleen,Elsinore,Darlleen.Elsinore@mymail.com,2.57,2001-12-09,Rochester Institute of Technology (Dubai campus)
1041,Leontine,Elvyn,Leontine.Elvyn@mymail.com,4,2019-08-23,Hult International Business School
1042,Sadie,Rugen,Sadie.Rugen@mymail.com,3.87,1921-08-31,American University of Beirut
1043,Jordan,Bonucci,Jordan.Bonucci@mymail.com,6.76,1922-08-24,Lakeland University (Japan campus)
1044,Kassey,Mozelle,Kassey.Mozelle@mymail.com,3.72,1935-10-21,Kean University (Wenzhou campus)
1045,Marjie,Wilkinson,Marjie.Wilkinson@mymail.com,6.51,1903-06-29,American University of Rome
1046,Annice,Kirstin,Annice.Kirstin@mymail.com,8.19,1970-10-31,American College of Greece
1047,Hildegaard,Zitvaa,Hildegaard.Zitvaa@mymail.com,6.24,1987-01-26,Saint Louis University (Madrid campus)
1048,Dolli,Tristram,Dolli.Tristram@mymail.com,7.19,1977-10-20,American University in Bulgaria
1049,Cristabel,Harday,Cristabel.Harday@mymail.com,7.11,1985-08-26,St. John's University (Paris campus)
1050,Meriel,Philipp,Meriel.Philipp@mymail.com,8.94,2001-11-28,Temple University (Japan campus)
1051,Adriana,Jarib,Adriana.Jarib@mymail.com,1.72,1919-01-03,Girne American University
1052,Ruthe,Lytton,Ruthe.Lytton@mymail.com,2.93,1988-12-30,American University in Dubai
1053,Marjie,Michella,Marjie.Michella@mymail.com,9.25,1910-09-28,Lakeland University (Japan campus)
1054,Benita,Mehalek,Benita.Mehalek@mymail.com,6.41,1985-04-27,New York University (Abu Dhabi campus)
1055,Lynde,Oscar,Lynde.Oscar@mymail.com,9.03,1947-08-21,Saint Louis University (Madrid campus)
1056,Carilyn,Mintz,Carilyn.Mintz@mymail.com,9.51,1925-02-22,Kean University (Wenzhou campus)
1057,Tersina,Claudine,Tersina.Claudine@mymail.com,1.97,1926-05-22,New York University (Florence campus)
1058,Dulcinea,Zina,Dulcinea.Zina@mymail.com,4.2,1955-11-18,American University of Paris
1059,Jessamyn,Curren,Jessamyn.Curren@mymail.com,3.35,1941-08-07,McDaniel College Budapest
1060,Lynea,Hazlett,Lynea.Hazlett@mymail.com,9.84,1913-03-24,American University of Sharjah
1061,Allis,Danby,Allis.Danby@mymail.com,7.26,1941-12-26,Temple University (Rome campus)
1062,Codie,Cullin,Codie.Cullin@mymail.com,3.71,2015-11-17,American InterContinental University
1063,Amelia,Germann,Amelia.Germann@mymail.com,8.03,1991-11-07,Kean University (Wenzhou campus)
1064,Letizia,Braun,Letizia.Braun@mymail.com,5,1989-05-04,Webster University Geneva (Geneva campus)
1065,Aili,Lattie,Aili.Lattie@mymail.com,6.02,1985-02-22,Girne American University
1066,Coral,Bivins,Coral.Bivins@mymail.com,7.42,1948-03-14,American College Dublin
1067,Mureil,Pelagias,Mureil.Pelagias@mymail.com,2.97,1946-11-19,Franklin University Switzerland
1068,Clo,Bearnard,Clo.Bearnard@mymail.com,9.05,1914-06-29,New York University (Florence campus)
1069,Janenna,Toffic,Janenna.Toffic@mymail.com,10.82,2017-05-01,Stony Brook University (Korea campus)
1070,Kathy,Tremayne,Kathy.Tremayne@mymail.com,7.71,1981-09-29,American University of Paris
1071,Randa,Quinn,Randa.Quinn@mymail.com,9.76,2013-03-21,Girne American University
1072,Jeanna,Melleta,Jeanna.Melleta@mymail.com,6.72,1956-03-23,American InterContinental University
1073,Tarra,Celestine,Tarra.Celestine@mymail.com,4.76,1929-10-23,Richmond The American International University in London
1074,Aigneis,Louanna,Aigneis.Louanna@mymail.com,4.69,1930-04-26,American InterContinental University
1075,Beatriz,Kenney,Beatriz.Kenney@mymail.com,6.57,1900-01-30,American College of Thessaloniki (ACT)
1076,Ayn,Diann,Ayn.Diann@mymail.com,10.57,1902-05-09,Lakeland University (Japan campus)
1077,Suzette,Lunsford,Suzette.Lunsford@mymail.com,1.19,2011-02-23,American University in Bulgaria
1078,Sidoney,Avi,Sidoney.Avi@mymail.com,1.15,1974-03-26,Saint Louis University (Madrid campus)
1079,Janey,Carri,Janey.Carri@mymail.com,8.31,1959-05-22,Schiller International University
1080,Lusa,Oscar,Lusa.Oscar@mymail.com,2.13,2001-12-24,American University of Armenia
1081,Anestassia,Raimondo,Anestassia.Raimondo@mymail.com,8.11,1992-10-26,John Cabot University
1082,Siana,Idelia,Siana.Idelia@mymail.com,5.99,2014-08-02,American University of Paris
1083,Camile,Kimmie,Camile.Kimmie@mymail.com,7.36,1924-12-29,American University in Dubai
1084,Tilly,Durware,Tilly.Durware@mymail.com,3.94,1946-10-28,St. John's University (Italy campus)
1085,Chandra,Berne,Chandra.Berne@mymail.com,1.26,1952-02-28,American University of Antigua
1086,Annabela,Bach,Annabela.Bach@mymail.com,4.66,1904-06-14,American University of Paris
1087,Shannah,Marden,Shannah.Marden@mymail.com,8.05,1973-09-13,Rochester Institute of Technology (Dubai campus)
1088,Jerry,Vins,Jerry.Vins@mymail.com,8.67,1963-10-17,Kean University (Wenzhou campus)
1089,Henriette,Adalbert,Henriette.Adalbert@mymail.com,8.01,1962-01-12,The American University in Cairo
1090,Flory,Firmin,Flory.Firmin@mymail.com,1.45,2008-05-24,Franklin University Switzerland
1091,Orsola,Malina,Orsola.Malina@mymail.com,7.06,1929-08-31,Stony Brook University (Korea campus)
1092,Susette,Harned,Susette.Harned@mymail.com,8.12,1984-04-26,New York University (Florence campus)
1093,Blake,Bultman,Blake.Bultman@mymail.com,8.95,1931-01-25,Hellenic American University
1094,Leona,Doig,Leona.Doig@mymail.com,4.67,1956-01-20,RIT Kosovo / American University in Kosovo
1095,Talya,Mata,Talya.Mata@mymail.com,4.03,2013-03-21,American University of Paris
1096,Marleah,Salchunas,Marleah.Salchunas@mymail.com,8.64,1968-07-09,New York University (Abu Dhabi campus)
1097,Rayna,Swanhildas,Rayna.Swanhildas@mymail.com,1.13,2015-10-31,Lakeland University (Japan campus)
1098,Albertina,Robertson,Albertina.Robertson@mymail.com,5.52,1984-04-13,University of Maryland Global Campus
1099,Hope,Maryanne,Hope.Maryanne@mymail.com,4.23,1972-12-22,Rochester Institute of Technology (Dubai campus)
1100,Noelle,Jotham,Noelle.Jotham@mymail.com,4.14,1964-07-12,Hult International Business School
1101,Aaren,Deegan,Aaren.Deegan@mymail.com,9.46,1906-05-15,Lebanese American University
1102,Adele,Masao,Adele.Masao@mymail.com,1.3,1943-02-08,Franklin University Switzerland
1103,Annice,Anastatius,Annice.Anastatius@mymail.com,1.78,1966-01-06,Stony Brook University (Korea campus)
1104,Kellen,Sekofski,Kellen.Sekofski@mymail.com,6.18,1921-10-01,The American University in Cairo
1105,Kalina,Jotham,Kalina.Jotham@mymail.com,10.03,1973-09-08,American University of Paris
1106,Teriann,Kaja,Teriann.Kaja@mymail.com,7.09,2017-01-30,American University of Armenia
1107,Sharai,Arley,Sharai.Arley@mymail.com,9.95,1932-12-29,American University of Nigeria
1108,Charlena,Jillane,Charlena.Jillane@mymail.com,8.78,1991-03-25,American College of Thessaloniki (ACT)
1109,Catrina,Chem,Catrina.Chem@mymail.com,7.3,2016-05-28,New York University (Abu Dhabi campus)
1110,Reeba,Emmy,Reeba.Emmy@mymail.com,2.44,1909-06-26,University of Maryland Global Campus
1111,Lucille,Aurelio,Lucille.Aurelio@mymail.com,9.89,1975-06-23,Hult International Business School
1112,Vinita,Morgun,Vinita.Morgun@mymail.com,1.32,1987-09-23,New York University (Abu Dhabi campus)
1113,Sybille,Burkle,Sybille.Burkle@mymail.com,1.77,2018-06-26,American College of Greece
1114,Philis,Lipson,Philis.Lipson@mymail.com,7.73,1962-01-28,New York University (Florence campus)
1115,Philis,Kenwood,Philis.Kenwood@mymail.com,6.97,2008-06-17,American University in Bulgaria
1116,Cassandra,Narton,Cassandra.Narton@mymail.com,7.77,2017-12-30,American University in Bulgaria
1117,Blondelle,Vary,Blondelle.Vary@mymail.com,5.86,1997-08-15,Stony Brook University (Korea campus)
1118,Ellette,Herrera,Ellette.Herrera@mymail.com,6.15,1983-06-18,Kean University (Wenzhou campus)
1119,Corly,Teryn,Corly.Teryn@mymail.com,4.57,1953-07-11,American University in Dubai
1120,Rochette,Sundin,Rochette.Sundin@mymail.com,3.47,1907-06-21,American University of Sharjah
1121,Kara-Lynn,Horan,Kara-Lynn.Horan@mymail.com,8.19,1916-07-18,Stony Brook University (Korea campus)
1122,Sean,Hanleigh,Sean.Hanleigh@mymail.com,10.99,1919-08-13,St. John's University (Paris campus)
1123,Dyann,Gale,Dyann.Gale@mymail.com,6.39,1999-08-04,St. John's University (Italy campus)
1124,Lexine,Craggie,Lexine.Craggie@mymail.com,9.88,1996-03-06,Hellenic American University
1125,Caritta,Sawtelle,Caritta.Sawtelle@mymail.com,11,1916-01-12,American University of Paris
1126,Alisha,Kravits,Alisha.Kravits@mymail.com,5.81,1981-12-15,Temple University (Rome campus)
1127,Evita,Horan,Evita.Horan@mymail.com,10.33,2016-06-04,Temple University (Japan campus)
1128,Sheelagh,Anastatius,Sheelagh.Anastatius@mymail.com,8.09,1960-02-29,American College Dublin
1129,Verla,Mitzi,Verla.Mitzi@mymail.com,10.69,1943-10-25,American University of Antigua
1130,Daphne,Marijo,Daphne.Marijo@mymail.com,10.33,1968-08-06,American University of Armenia
1131,Mariann,Bakerman,Mariann.Bakerman@mymail.com,8.53,1920-12-07,RIT Kosovo / American University in Kosovo
1132,Antonietta,Lunsford,Antonietta.Lunsford@mymail.com,5.24,1968-03-21,Webster University Geneva (Geneva campus)
1133,Modestia,Shuler,Modestia.Shuler@mymail.com,4.51,1923-07-22,Stony Brook University (Korea campus)
1134,Viviene,Alisia,Viviene.Alisia@mymail.com,2.16,1966-10-21,American University of Armenia
1135,Jean,Madelene,Jean.Madelene@mymail.com,1.91,1976-08-16,McDaniel College Budapest
1136,Marika,Syd,Marika.Syd@mymail.com,3.57,1998-01-20,Central European University
1137,Vanessa,Constancy,Vanessa.Constancy@mymail.com,5.94,1922-10-05,American College Dublin
1138,Allis,Ader,Allis.Ader@mymail.com,9.99,1979-03-05,Temple University (Japan campus)
1139,Daryl,Jerold,Daryl.Jerold@mymail.com,6.83,1943-05-19,RIT Kosovo / American University in Kosovo
1140,Odessa,Sikorski,Odessa.Sikorski@mymail.com,3.06,1925-10-18,Lakeland University (Japan campus)
1141,Annora,Lucienne,Annora.Lucienne@mymail.com,1.75,1944-01-08,American University of Sharjah
1142,Jan,Concha,Jan.Concha@mymail.com,7.47,1971-05-03,John Cabot University
1143,Ursulina,Delila,Ursulina.Delila@mymail.com,5.42,1983-09-23,American University in Bulgaria
1144,Alejandra,Hubert,Alejandra.Hubert@mymail.com,2.41,1986-07-10,St. John's University (Paris campus)
1145,Celene,Lemuela,Celene.Lemuela@mymail.com,7.52,1967-10-07,The American University in Cairo
1146,Marsiella,Dannye,Marsiella.Dannye@mymail.com,2.47,1942-11-12,St. John's University (Italy campus)
1147,Johna,Ietta,Johna.Ietta@mymail.com,6.37,1955-06-19,St. John's University (Italy campus)
1148,Mara,Delila,Mara.Delila@mymail.com,6.71,1920-08-28,American College of Thessaloniki (ACT)
1149,Winny,Pyle,Winny.Pyle@mymail.com,7.87,2008-04-25,Girne American University
1150,Eugine,Flita,Eugine.Flita@mymail.com,8.93,1963-11-14,Girne American University
1151,Tera,Yusuk,Tera.Yusuk@mymail.com,9.8,1992-10-10,University of Maryland Global Campus
1152,Dacia,Jefferey,Dacia.Jefferey@mymail.com,9.01,1936-11-17,Franklin University Switzerland
1153,Annabela,Rosette,Annabela.Rosette@mymail.com,10.59,1923-11-26,American University of Paris
1154,Annabela,Swigart,Annabela.Swigart@mymail.com,6.98,1956-12-28,University of Maryland Global Campus
